CNTSTUID;CNTSCHID;STRATUM;STU_GENDER;ISCEDP;REPEAT;EXERPRAC;RELATST;BULLIED;FAMSUP;HISCED;ICTRES;ESCS;SCHLTYPE;SCHSIZE;TOTAT;PROATCE;STRATIO;STAFFSHORT;EDUSHORT;SCPREPBP;SCPREPAP;PROBSCRI;CV19_ONLINE_CLASS;CV19_CANCELLED_CLASS;TC_GENDER_MEAN;TC_AGE_MEAN;TC_EXP_MEAN;TC_PERM_PERC;PV1MATH;PV2MATH;PV3MATH;PV4MATH;PV5MATH;PV6MATH;PV7MATH;PV8MATH;PV9MATH;PV10MATH;PV1FLIT;PV2FLIT;PV3FLIT;PV4FLIT;PV5FLIT;PV6FLIT;PV7FLIT;PV8FLIT;PV9FLIT;PV10FLIT;PV1CRTH_NC;PV2CRTH_NC;PV3CRTH_NC;PV4CRTH_NC;PV5CRTH_NC;PV6CRTH_NC;PV7CRTH_NC;PV8CRTH_NC;PV9CRTH_NC;PV10CRTH_NC
62002039.0;62000162.0;PRT05;1.0;344.0;0.0;2.0;1.2534;-1.228;1.6889;4.0;-0.4554;-0.9123;3.0;1225.0;244.0;1.0;5.0205;1.2579;0.4997;;;;;;1.4285714285714286;53.04545454545455;25.523809523809526;0.6818181818181818;395.186;398.758;397.089;392.206;444.652;433.865;388.649;433.604;459.178;441.246;;;;;;;;;;;19.3;24.5;26.6;16.8;19.1;21.1;34.2;16.3;21.6;37.7
62002040.0;62000171.0;PRT22;1.0;344.0;0.0;6.0;-0.3892;0.2289;0.0401;7.0;0.2873;-0.0655;3.0;2890.0;239.5;0.0209;12.0668;0.8179;-1.4212;-0.8314;0.8462;0.0436;5.0;1.0;1.4375;55.3125;31.125;0.8823529411764706;472.727;531.703;449.448;490.931;495.257;464.859;441.475;496.286;488.49;459.562;;;;;;;;;;;44.7;40.3;42.5;40.9;39.9;48.9;44.6;41.8;39.5;44.4
62002042.0;62000104.0;PRT08;2.0;344.0;0.0;10.0;-0.7414;-0.5168;-0.7277;8.0;1.0161;0.3716;3.0;2386.0;238.0;0.0378;10.0252;0.9995;0.1;-0.8314;0.8462;0.6649;5.0;1.0;1.263157894736842;52.421052631578945;24.842105263157894;0.631578947368421;547.501;512.304;533.946;520.52;533.585;497.487;493.784;536.537;483.594;476.414;;;;;;;;;;;46.8;38.6;47.3;38.9;36.6;44.9;33.7;44.5;39.2;42.5
62002043.0;62000078.0;PRT07;1.0;344.0;0.0;6.0;1.1488;-1.228;0.0743;8.0;1.1075;1.0665;3.0;928.0;126.5;0.8933;7.336;1.2805;1.1897;0.0464;-0.9552;0.3465;2.0;1.0;1.1578947368421053;52.8421052631579;25.842105263157894;0.6842105263157895;459.205;450.277;447.392;510.013;509.907;449.017;486.489;438.091;445.565;500.171;;;;;;;;;;;26.5;32.9;22.2;29.4;37.2;23.7;34.7;29.6;34.5;29.8
62002044.0;62000067.0;PRT07;1.0;344.0;0.0;4.0;-0.7508;-1.228;-0.4281;9.0;0.7846;1.4771;3.0;1578.0;151.0;0.9238;10.4503;0.028;-0.0703;-0.8314;0.8462;-0.5687;5.0;1.0;1.2;53.53333333333333;25.4;0.6666666666666666;582.162;600.136;523.98;583.488;589.708;583.809;554.575;597.947;594.226;558.151;;;;;;;;;;;40.4;44.2;41.0;42.7;42.8;47.2;44.1;46.1;49.9;40.7
62002046.0;62000177.0;PRT22;2.0;344.0;0.0;1.0;0.3292;0.2289;1.5201;10.0;0.5309;1.508;3.0;3067.0;314.0;0.5796;9.7675;-1.4551;-1.4212;;;;;;1.2777777777777777;49.77777777777778;22.88888888888889;0.6111111111111112;469.019;496.988;488.489;456.71;516.002;511.729;430.367;536.966;492.964;516.519;;;;;;;;;;;36.5;44.8;36.1;47.8;40.9;46.5;40.3;39.7;48.6;30.9
62002049.0;62000118.0;PRT21;2.0;344.0;0.0;5.0;0.88;0.5805;0.8859;9.0;0.9709;1.5767;1.0;899.0;67.0;0.9701;13.4179;-1.4551;-1.4212;0.0464;0.1102;-1.0628;5.0;1.0;1.3888888888888888;48.0;23.38888888888889;0.9444444444444444;664.536;644.875;654.654;670.775;698.278;649.937;646.53;696.8;659.225;671.954;;;;;;;;;;;47.6;44.1;45.1;33.9;46.6;51.5;52.2;46.3;48.9;46.3
62002051.0;62000219.0;PRT03;2.0;354.0;0.0;3.0;0.5083;-1.228;;10.0;-0.5178;-0.0665;3.0;1091.0;288.0;1.0;3.7882;1.75;0.1;0.6868;0.8462;0.7965;5.0;1.0;1.1363636363636365;54.27272727272727;27.09090909090909;0.6818181818181818;354.159;403.395;380.959;323.569;383.768;358.447;359.48;375.857;418.186;372.517;;;;;;;;;;;21.8;33.5;17.6;18.8;30.9;25.1;21.9;22.0;19.4;24.7
62002052.0;62000215.0;PRT02;2.0;344.0;0.0;10.0;-0.2435;0.2289;0.4965;8.0;-1.0709;0.0793;3.0;1764.0;196.0;1.0;9.0;1.2579;1.4783;-0.8314;-0.1008;0.3786;4.0;1.0;1.3125;49.625;24.25;0.875;585.749;541.775;580.597;569.389;578.613;613.304;584.541;566.725;542.134;528.345;;;;;;;;;;;37.4;27.3;35.1;38.4;28.9;44.4;40.9;44.1;49.6;42.8
62002054.0;62000113.0;PRT14;1.0;344.0;0.0;6.0;-0.8451;-1.228;1.7356;7.0;0.3319;0.4611;3.0;1037.0;122.5;0.8286;8.4653;2.4895;0.8679;0.7916;0.1102;1.4012;5.0;1.0;1.368421052631579;56.05263157894737;32.10526315789474;0.95;540.933;562.346;529.533;542.355;518.453;561.233;529.71;549.127;544.113;528.053;;;;;;;;;;;41.4;44.2;38.6;41.4;42.1;37.0;43.8;38.2;44.1;39.1
